Relationship_Status_Married,Relationship_Status_Single,Hometown_Clinton,Hometown_Franklin,Hometown_Lebanon,Hometown_Springfield,Hometown_Washington,Unit_Accounting and Finance,Unit_Human Resource Management,Unit_IT,Unit_Logistics,Unit_Marketing,Unit_Operarions,Unit_Production,Unit_Purchasing,Unit_Quality,Unit_R&D,Unit_Sales,Unit_Security,Decision_skill_possess_Analytical,Decision_skill_possess_Behavioral,Decision_skill_possess_Conceptual,Decision_skill_possess_Directive,Compensation_and_Benefits_type0,Compensation_and_Benefits_type1,Compensation_and_Benefits_type2,Compensation_and_Benefits_type3,Compensation_and_Benefits_type4,Gender,Age,Education_Level,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Work_Life_balance,VAR1,VAR3,VAR5,VAR6,VAR7,Attrition_rate
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,24.0,3,5.0,2,21,0,4,9.0,2.0,3,-0.4537,3,8,5,0.2599
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,22.0,5,3.0,3,23,1,5,6.0,4.0,3,-0.4537,2,8,2,0.2102
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,52.0,3,15.0,2,29,0,3,6.0226271525831,1.0,3,-0.4537,1,7,1,0.1803
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,29.0,1,7.0,2,72,0,2,3.0,3.0,5,1.8688,2,6,3,0.2359
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,54.0,1,15.0,3,27,1,3,8.0,1.0,3,-0.4537,4,5,3,0.1556
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,35.0,2,8.0,3,51,2,1,1.0,3.0,3,-1.615,2,6,3,0.3357
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,39.675506523814576,3,10.0,3,73,1,1,8.0,3.0,2,0.7075,2,7,4,0.0312
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,23.0,4,4.0,4,30,0,2,9.0,2.0,5,-0.4537,4,8,3,0.6998
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,34.0,3,10.0,3,38,2,2,6.0,1.0,2,0.7075,2,8,3,0.2287
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,39.675506523814576,1,33.0,2,68,0,1,6.0,2.0,3,0.7075,3,8,3,0.1896
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,27.0,3,5.0,3,30,0,3,4.0,2.0,4,-0.4537,4,6,3,0.2553
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,32.0,3,5.0,4,35,1,1,6.0,3.0,1,-2.7762,3,7,5,0.17
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,39.675506523814576,1,11.0,4,49,0,4,1.0,1.0,3,-1.615,2,8,3,0.0318
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,65.0,5,34.0,3,61,1,2,9.0,4.0,3,-0.4537,2,8,3,0.3203
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,31.0,3,3.0,3,30,1,1,8.0,1.0,3,0.7075,3,9,3,0.0548
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,40.0,3,13.0,3,50,1,3,5.0,2.0,5,-0.4537,2,8,1,0.1112
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,26.0,3,2.0,1,69,1,5,4.0,1.0,2,-0.4537,2,9,4,0.0519
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,27.0,1,5.0,1,61,1,4,8.0,3.0,1,1.8688,3,7,3,0.0193
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,29.0,4,5.0,1,69,0,2,5.0,1.0,2,-0.4537,2,9,2,0.0185
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,26.0,4,2.0,2,64,1,2,5.0,2.0,4,0.7075,2,8,4,0.2801
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,57.0,4,35.0,3,52,2,5,8.0,1.0,4,-0.4537,3,5,3,0.1079
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,37.0,4,14.0,2,69,1,2,8.0,3.0,3,0.7075,1,5,4,0.0935
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,29.0,2,5.0,1,56,1,5,8.0,3.0,3,0.7075,3,8,5,0.2547
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,19.0,2,0.0,0,62,0,2,5.0,2.0,3,-0.4537,3,8,2,0.1455
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,51.0,1,19.0,3,64,0,3,5.0,3.0,4,0.7075,2,6,4,0.1138
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,55.0,1,31.0,4,20,2,4,6.0,4.0,5,-0.4537,4,8,5,0.0113
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,35.0,4,10.0,3,66,0,4,8.0,3.0,3,-0.4537,2,8,4,0.2689
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,39.675506523814576,4,1.0,1,47,1,2,8.0,3.0,3,-0.4537,1,6,5,0.0152
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,59.0,3,23.0,3,32,2,4,6.0,3.0,3,-0.4537,3,7,5,0.0582
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,39.675506523814576,2,26.0,2,50,2,1,7.0,1.0,3,-1.615,2,8,3,0.1173
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,24.0,3,13.390656874745002,2,58,1,3,5.0,1.0,3,-0.4537,2,7,3,0.1247
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,33.0,4,8.0,4,51,1,4,5.0,2.0,3,-0.4537,3,8,4,0.2374
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,21.0,3,2.0,2,54,0,2,7.0,4.0,3,0.7075,5,7,3,0.1181
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,34.0,3,7.0,2,45,0,1,5.0,2.0,3,-0.4537,3,6,4,0.0768
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,38.0,4,11.0,2,59,1,3,4.0,3.0,3,-2.7762,3,8,2,0.6412
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,19.0,3,0.0,0,60,1,4,4.0,1.0,2,0.7075,2,9,3,0.0684
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,46.0,3,14.0,1,27,2,3,8.0,3.0,1,-0.4537,3,7,4,0.7618
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,54.0,5,17.0,2,45,2,3,8.0,2.0,3,-0.4537,3,7,1,0.3115
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,29.0,3,6.0,2,65,1,4,6.0,1.0,3,0.7075,2,8,3,0.1758
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,37.0,3,10.0,1,47,2,1,5.0,3.0,5,-0.4537,2,7,3,0.4503
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,31.0,4,9.0,2,73,1,4,7.0,4.0,2,-0.4537,1,7,4,0.091
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,57.0,4,27.0,3,73,2,3,8.0,4.0,2,0.7075,3,8,3,0.1384
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,51.0,3,20.0,4,42,0,2,5.0,2.0,4,-0.4537,4,6,5,0.0971
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,52.0,4,26.0,4,28,2,2,8.0,1.0,4,1.8688,2,8,5,0.278
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,30.0,5,6.0,1,61,1,1,10.0,3.0,3,1.8688,1,8,4,0.0185
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,48.0,4,15.0,2,37,0,2,1.0,2.0,3,-0.4537,3,8,5,0.0158
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,64.0,1,42.0,1,62,1,3,6.0,3.0,3,-2.7762,2,8,3,0.2235
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,39.675506523814576,3,10.0,4,27,0,2,8.0,3.0,3,-0.4537,4,7,5,0.22
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,36.0,3,14.0,2,45,1,4,5.0,4.0,3,0.7075,4,8,5,0.076
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20.0,2,1.0,1,60,1,2,8.0,4.0,3,1.8688,3,6,3,0.0045
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,39.675506523814576,5,32.0,4,74,1,2,10.0,4.0,3,1.8688,3,5,4,0.1825
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,26.0,3,3.0,2,61,0,4,9.0,4.0,3,-0.4537,3,7,2,0.1153
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27.0,4,4.0,2,27,1,1,7.0,4.0,4,-0.4537,3,6,3,0.1618
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,45.0,4,10.0,2,59,2,3,5.0,1.0,2,-1.615,2,6,5,0.125
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,52.0,3,30.0,4,38,1,3,7.0,4.0,4,-0.4537,2,5,3,0.0787
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,21.0,1,2.0,1,21,2,5,5.0,3.0,2,0.7075,2,5,3,0.0445
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,31.0,3,6.0,3,61,1,4,4.0,3.0,3,0.7075,3,5,3,0.4234
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,39.675506523814576,3,28.0,2,68,1,4,8.0,4.0,1,1.8688,4,9,3,0.1973
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,52.0,3,21.0,2,49,1,3,6.0,4.0,3,-0.4537,3,8,5,0.1426
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,42.0,3,16.0,3,68,1,2,5.0,4.0,4,0.7075,3,6,4,0.0793
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,24.0,4,5.0,1,22,1,2,4.0,4.0,3,0.7075,3,8,3,0.2778
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,35.0,4,10.0,4,66,1,2,6.0,1.0,1,-0.4537,2,8,5,0.1681
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,39.675506523814576,3,1.0,1,56,1,4,6.0,4.0,3,-0.4537,3,9,2,0.16
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,64.0,2,27.0,3,70,1,3,7.0,5.0,4,-2.7762,4,9,3,0.1212
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,23.0,3,4.0,4,56,1,3,4.0,1.0,4,0.7075,4,8,4,0.2872
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,27.0,3,5.0,4,23,0,2,9.0,3.0,2,-0.4537,3,8,3,0.0664
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,32.0,4,9.0,2,28,1,3,6.0,4.0,5,-0.4537,4,8,4,0.0421
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,25.0,1,6.0,2,58,2,5,6.0,1.0,3,0.7075,2,7,3,0.0905
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,47.0,5,14.0,2,21,1,2,6.0,1.0,4,0.7075,4,7,4,0.0035
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,20.0,3,1.0,1,48,0,5,8.0,2.0,4,0.7075,2,7,3,0.2449
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,39.675506523814576,3,18.0,2,34,1,3,8.0,3.0,4,-0.4537,2,5,2,0.1075
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,52.0,3,30.0,1,50,1,3,4.0,2.0,1,-0.4537,3,5,3,0.2738
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,32.0,1,13.390656874745002,4,26,0,2,6.0,1.0,3,-0.4537,3,6,4,0.0749
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,25.0,4,6.0,2,31,1,4,4.0,4.0,3,-0.4537,2,7,4,0.1564
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,35.0,5,6.0,1,26,1,3,8.0,1.0,2,-0.4537,2,9,3,0.2735
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,25.0,3,6.0,4,74,2,3,7.0,1.0,3,-0.4537,3,6,3,0.0112
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,60.0,3,30.0,2,68,1,5,5.0,3.0,4,-1.615,3,8,3,0.1132
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,22.0,4,3.0,3,23,2,5,4.0,2.0,2,-1.615,3,8,3,0.0233
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,47.0,4,20.0,4,68,1,3,6.0,1.0,3,-0.4537,2,8,3,0.1457
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,55.0,4,32.0,2,49,1,3,9.0,1.0,3,-0.4537,2,8,3,0.0831
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,57.0,4,26.0,4,67,1,3,4.0,3.0,3,0.7075,3,8,5,0.198
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,29.0,3,5.0,1,44,1,3,2.0,1.0,1,-0.4537,5,7,3,0.123
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,47.0,1,23.0,1,74,1,3,5.0,4.0,1,-0.4537,3,7,3,0.1312
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,50.0,5,24.0,3,71,2,4,7.0,3.0,3,0.7075,4,6,1,0.2563
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,22.0,5,3.0,3,62,1,2,9.0,2.0,4,0.7075,3,8,4,0.1736
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,22.0,4,3.0,2,62,1,2,8.0,1.0,4,-1.615,3,5,2,0.1159
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32.0,3,3.0,3,72,2,3,8.0,3.0,3,-0.4537,1,5,3,0.7537
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,39.675506523814576,3,8.0,1,34,0,2,2.0,2.0,3,0.7075,4,6,3,0.2228
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,22.0,3,3.0,2,27,2,3,6.0,4.0,3,0.7075,3,7,3,0.032
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,35.0,4,6.0,2,31,1,3,4.0,4.0,3,0.7075,4,6,3,0.1195
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,23.0,1,4.0,2,30,0,3,8.0,1.0,4,0.7075,3,7,3,0.1439
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,25.0,4,6.0,2,49,0,3,5.0,2.0,3,1.8688,2,8,4,0.3682
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,39.675506523814576,4,27.0,1,28,1,3,4.0,1.0,3,0.7075,2,5,3,0.0739
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,47.0,5,15.0,1,47,1,3,5.0,2.0,3,-0.4537,3,8,3,0.0822
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,28.0,1,6.0,2,52,0,1,8.0,3.0,3,0.7075,3,6,3,0.227
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,53.0,3,18.0,1,48,0,3,4.0,2.0,2,0.7075,2,6,5,0.0946
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,28.0,3,5.0,4,55,0,4,6.0,2.0,3,-2.7762,3,6,3,0.1069
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,43.0,3,13.0,1,57,1,4,1.0,5.0,2,0.7075,2,5,3,0.222
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,60.0,2,23.0,4,38,0,4,4.0,4.0,3,-0.4537,3,7,3,0.0579
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,41.0,1,8.0,4,65,1,3,4.0,2.0,3,-1.615,3,9,3,0.3883
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,47.0,4,10.0,3,50,1,2,7.0,1.0,3,-1.615,2,7,3,0.1975
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,43.0,3,6.0,1,22,0,2,7.0,3.0,3,-0.4537,2,7,3,0.4788
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,28.0,3,4.0,4,42,1,2,8.0,3.0,3,-0.4537,3,5,3,0.2129
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,25.0,4,6.0,2,51,0,1,7.0,4.0,4,-0.4537,2,7,3,0.0625
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,32.0,5,3.0,2,49,1,3,4.0,1.0,4,0.7075,3,5,3,0.0366
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,25.0,4,6.0,3,52,1,3,6.0,2.0,2,-1.615,3,8,5,0.1175
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,47.0,5,14.0,2,60,1,3,5.0,1.0,3,0.7075,2,7,3,0.7634
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,60.0,3,30.0,4,61,1,2,4.0,3.0,3,-1.615,3,5,4,0.28800000000000003
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,65.0,5,36.0,3,28,0,3,3.0,4.0,1,-0.4537,1,7,4,0.1484
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,27.0,2,5.0,2,26,0,1,5.0,4.0,3,-0.4537,3,8,3,0.0529
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,42.0,3,14.0,2,56,2,5,8.0,5.0,3,-1.615,3,5,3,0.0058
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,39.675506523814576,5,17.0,1,53,0,3,8.0,1.0,4,0.7075,2,6,5,0.1714
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,44.0,4,16.0,2,65,0,3,5.0,1.0,3,1.8688,2,8,5,0.1563
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,55.0,4,24.0,3,73,2,5,1.0,1.0,5,0.7075,3,6,5,0.0215
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,58.0,3,33.0,3,25,1,3,5.0,1.0,5,-2.7762,2,8,2,0.1593
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,25.0,1,6.0,2,41,0,1,8.0,2.0,5,1.8688,4,7,3,0.1062
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,36.0,3,9.0,3,47,1,2,5.0,2.0,3,0.7075,3,8,3,0.0997
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,43.0,3,14.0,2,25,1,3,10.0,3.0,3,-2.7762,3,5,4,0.2101
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,47.0,5,11.0,3,38,1,3,8.0,2.0,2,1.8688,2,5,3,0.0983
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,36.0,4,12.0,4,20,1,2,8.0,1.0,2,-0.4537,4,7,5,0.183
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,28.0,3,5.0,1,38,0,1,8.0,1.0,4,-0.4537,3,8,3,0.5212
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,35.0,4,11.0,4,61,0,1,3.0,4.0,1,1.8688,4,9,3,0.1461
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,25.0,3,6.0,3,62,0,3,9.0,1.0,3,0.7075,5,9,4,0.1351
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,27.0,3,3.0,3,67,0,2,3.0,4.0,3,-1.615,2,8,2,0.1489
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,65.0,3,36.0,4,55,0,3,5.0,1.0,3,-0.4537,3,5,3,0.5725
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,39.675506523814576,3,16.0,3,46,1,2,7.0,2.0,1,1.8688,3,8,2,0.0002
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,60.0,3,38.0,2,37,0,3,5.0,4.0,3,0.7075,4,7,4,0.2495
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,57.0,3,19.0,1,73,0,1,6.0,3.0,3,-0.4537,5,9,3,0.4184
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,62.0,3,29.0,1,30,0,3,8.0,4.0,3,1.8688,3,6,3,0.3186
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,35.0,3,12.0,1,38,1,4,7.0,1.0,3,-0.4537,4,8,4,0.5975
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,36.0,3,10.0,1,64,1,2,5.0,2.0,2,-1.615,2,7,3,0.0617
